writer
Alexander Black
Charles Tait
"Rafael Blecher, David Schurmann"
Johnny Tabor
"Zeynep Kayadelen, Ridvan Kiziltepe"
Jennifer Harrington
"Mario Desiati, Antonella Gaeta"
"Christopher Landon, Chad Feehan"
Kyung-mook Kim
Ehren Kruger
"Terri Kauffman, Ron Carlson"
"Robert Beaucage, Kenny Gage"

Anthony Steven Giordano
Jennifer Saunders
"K. Subhash, Yunus Sajawal"
"Hugo Gélin, Romain Protat"
Dilip Shukla
"Oskar Roehler, Klaus Richter"
"Aleksi Hyvärinen, Taneli Mustonen"
"Kenya Marquez, Alfonso Suárez"
"Maarten Loix, François Pirot"
"Monica Zetterlund, Peter Birro"
"Jonas Chernick, Marguerite Pigott"
Dane Clark
"Agnes Davonar, Beby Hasibuan"
Keith Parmer
Aleksander Nordaas
"Rick Alverson, Robert Donne"
"Peter Paul Basler, Cary Anderson"
"Luke Massey, Benjamin Read"
"Zoya Akhtar, Guillermo Arriaga"
"Jurga Ivanauskaite, Algimantas Puipa"
Michael Starrbury
"Koroku Inumura, Satoko Okudera"
Patrícia Andrade
"Fathi Beddiar, Fathi Beddiar"
"Eckhard Vollmar, Cyrill Boss"
Lasse Spang Olsen
"Marcos Carnevale, Marcela Guerty"
"Felix Herngren, Hans Ingemansson"
Angus McLellan
"Debdasu, N.K. Salil"
"Muhammad Mostafa Kamal Raz, Muhammad Mostafa Kamal Raz"
Threes Anna
Miroslav Momcilovic
Christopher Roosevelt
Ray Burdis
Janusz Glowacki
"Zhenyun Liu, Zhenyun Liu"
"Gerben Hellinga, Melle Runderkamp"
"Yumi Yamashita, Emiko Hiramatsu"
"Anna Sasnal, Wilhelm Sasnal"
Volga Sorgu
Kae-Byeok Lee
Alper Mestçi
"Alex Zamm, William Robertson"
Burak Göral
Sally Potter
Arthur McKenzie
"Jingjing Bao, Jingjing Bao"
"Mark Jarrett, Jordan Heimer"
Jung-hwan Kim
K.P. Jagannath
Nikita Vysotskiy
Igor Voloshin
"Kristina Rocco, Michael Rocco"
"Tom Raycove, Brian Edward Watson"
"Necati Cumali, Serif Gören"
"M.A. Fortin, Joshua John Miller"
M. Tayfur Aydin
"Kanan Minami, Taeko Asano"
Tolga Örnek
Ümit Ünal
Pierre Pinaud
"Jingle Ma, Miro Wang"
"Tai-lee Chan, Kam-Yuen Szeto"
Nikki Braendlin
"Valeri Milev, Matthew Waynee"
Adam Scott Weissman
Richard Beattie
Christophe Turpin
"Robert Schenkkan, Andrew Knight"
"John Bellairs, Eric Kripke"
"Liz Bradley, Christopher R. Smith"
"Jonathan Jordaan, Alastair Orr"
Héléna Klotz
"Tim Herlihy, Timothy Dowling"
"Kevin Warner, Kevin Warner"
"Joan Cutrina, Xavi Llausí"
"Jennifer Holness, Sudz Sutherland"
"Abdel Raouf Dafri, Marc Fiévet"

"Raheel Riaz, Paul Tanter"
Ruben Östlund
Erdogan Tünas
Julio Martí
"Ikki Kajiwara, Naoki Tsuji"
"Andy Martino, Mike Rossetti"
Paula del Fierro
"Sara Bergmark Elfgren, Levan Akin"
"Vidhu Vinod Chopra, Rajesh Mapuskar"
Alex Grossman
Louis Feuillade
Louis Feuillade
Louis Feuillade
Louis Feuillade
Louis Feuillade
"Patrick Rea, Kendal Sinn"
"Rabdul Fez, Sebastian del Amo"
"Philippe Isard, Philippe Lefebvre"
Aishwarya Dhanush
"Kevin Finn, James Rolfe"
Jayney Mackie
Ben Pohl
"Sebnem Vitrinel, Çigdem Vitrinel"
Aida Begic
"Parasuram, Parasuram"
"David Latham, Benjamin Suarez"
Adam Chanzit
"Patrice Toye, Ina Vandewijer"
Ryôichi Kimizuka
"Aleksey Lebedev, Michael Mennies"
Matt Ross
"Olga Kharina, Sakhar 1 kg"
Gavin Boyter
"Malindi Fickle, Kris Lienert"
Onur Ünlü
"Johnny Silver, Stephen Scarlata"
"Claude Nuridsany, Marie Pérennou"
David R. Higgins
Michael Z. Wechsler
"Luciano Moura, Elena Soarez"
Dimitri Frenkel Frank
Sai Varadan
"Lucy Alibar, Benh Zeitlin"
"Renae Geerlings, Tyler Mane"
"Marcel Lenssen, Pieter Kuijpers"
"Armando Bo, Nicolás Giacobone"
"Èric Bertran, Hèctor Hernández Vicens"
Steven Palmer Peterson

"Evan Cholfin, Evan Cholfin"
Owen Sheers
"Bryan Bertino, Bryan Bertino"
"Marialy Rivas, Pedro Peirano"
"F. Scott Frazier, Eran Creevy"
"Manu Rishi Chadha, Meghana Karthik"
"Chris Berkenkamp, Jack Dusi"
"Ravi Babu, Satyanand"
"Carlton Cuse, Andre Fabrizio"
"Justin Zackham, Elaine Goldsmith-Thomas"
"Conor McMahon, David O'Brien"
"Kenta Nishimura, Shinji Imaoka"
Osman Ali
Fariza Azlina
Elif Refig
"Mauricio Cuervo, Colbert Garcia"
"Gabriel Achim, Cosmin Manolache"
Cort Howell
Gero Giglio
"Taavi Eelmaa, Jussi Jaakola"
"Daniel Pennac, Jérôme Fansten"

"Pierre Boileau, Thomas Narcejac"
Jim Klock
"Liz Lochhead, Alice Nellis"
"Abhijeet Sandhu, Dhieyo Sandhu"
"Leigh Whannell, Angus Sampson"
Ron Morales
"Matt Duffer, Ross Duffer"
"Maarit Lalli, Henrik Mäki-Tanila"
"Andrew Gunn, Tony Simpson"
Jac Avila
"Gosho Aoyama, Kazunari Kouchi"

"Oliver Berben, Charlotte Roche"
William Burke
Nader Rizq
"Sofia Coppola, Nancy Jo Sales"
"Miguel Pagan, Miguel Pagan"
"Alejandro Fadel, Martín Mauregui"
"Emre Kavuk, Emre Kavuk"
Lance Daly
In-ho Hwang
Dani Franklin
"Jared Vollmann, Kevin Williamson"
"Byeong-guk Hwang, Seong-gu Hwang"
Anoop Menon
"Robert Budreau, James Luscombe"
Mohamed Nayer
"Zane Casablanca, Svenja Quazzani"
Jason Lapeyre
"Elmar Fischer, Susanne Hertel"
"Bharathan, Dharani"
Anthony Woodley
"Sandip Ray, Satyajit Ray"
"Edna Luise Biesold, Sarah-Violet Bliss"
Michael C. Martin
"Neri Parenti, Carlo Vanzina"
"Bladimir Abud, Alfonso Suárez"
Fred Olen Ray
"Jonathan Haug, Patrick Sheehan"
"Hwang-seong Kim, Hwang-seong Kim"
"Kia Davis, Nathan Silver"
"Sandip Ray, Satyajit Ray"
"Shashank Dabral, Shashank Dabral"
"Prajay Shah, Abhay Shetty"
"Abhishek Kapoor, Pubali Chaudhuri"
Waymon Boone
Paul D. Hannah
Filiz Alpgezmen
"Kamaleswar Mukherjee, Kamaleswar Mukherjee"
David Zellner
"Sinyi Chen, Shih-Keng Chien"
"Chris Shafer, Paul Vicknair"
Christian Martin
Rebecca Thomas
"Hilton Lacerda, Bruno Della Latta"
"Gustavo Moheno, Angel Pulido"
"Suzuya Bobo, James Kaelan"
"Dan Sterling, Liz Hannah"
"Misumi Kubo, Kôsuke Mukai"
Adam Leon
"Benjamin Arthur, Dante Basco"
"Brian Duffield, Anthony Tambakis"
"Iram Parveen Bilal, Farah Usman"
Joe McClean
Christian Keyes
"Mamoru Hosoda, Mamoru Hosoda"
Shagufta Rafique
"Kelly Marcel, Sue Smith"
"Àlex Pastor, David Pastor"
"Heitor Dhalia, Vera Egito"
"Travis Campbell, Lauren Miller"
"Millie Loredo, Millie Loredo"
Dan Palmer
Himanshu Sharma
Bill Dubuque

Michael Mitnick
Jenée LaMarque
Mark Hammer
Luke Del Tredici
Juliana Reis
Stuart Murdoch
"Keith Brown, Keith Brown"
"Tom Gianas, Zeb Wells"
"Josh Stolberg, Nick Taravella"
Aleksandr Boyarskiy
"Bradley Dorsey, Lori Marett"
Kurt Hale
Steve Clark
"Elena Soarez, Anna Muylaert"
Ata Demirer
"Ryo Asai, Kôhei Kiyasu"
Baris Pirhasan
"Ozan Açiktan, Ahmet Levent Pala"
Saara Cantell
"Matt Shechmeister, Tim Shechmeister"
"Fernando Sancristóbal Zurita, Miguel Larraya"
"Dearborn Murray, Jeff Murray"
"Michel Leclerc, Thomas Lilti"

"Won-jae Lee, Yeji Min"
"Fernando R. Bencomo, Fernando R. Bencomo"
"Erdal Bektas, Ibrahim Güler"
Cosmo Jarvis
Paul T.T. Easter
"Orçun Benli, Sükrü Üçpinar"
Lotti Pharriss Knowles
Santha Kumar
"Mark Stay, Jon Wright"
Thomas Bohn

"Edward Payson, Darnell J. Taylor"
"Oliver Frampton, James Hall"
Tanzeal Rahim
Ikbal Kuttipuram

"Balaji Sakthivel, Balaji Sakthivel"
Khaled Youssef

Alex Karpovsky
Nia Di Nata
Jeta Amata
Andrea Gyertson Nasfell
"Pierre David, David DeCrane"
Pascal
"Leigh Francis, Paul Angunawela"
"Diego García, Rubén Imaz"
Justin King
Onur Tukel
"Martin Askew, Andrew Hulme"
"Gernot Gricksch, Gernot Gricksch"
Jason B. Whittier
"Ruslan Sorokin, Maksim Tukhanin"
"Amy Belk, Matthew Porterfield"
Tamer Habib
"Dariush Mehrjui, Vahidéa Mohammadi"
Barbara Kymlicka
"Todd Rigney, Todd Rigney"
"Ugo Betti, Wahid Hamid"
Clay Glen
"Neeraj Pathak, Neeraj Pathak"
Çagan Irmak
"Jacques Renoir, Gilles Bourdos"
Kat Candler
"Ching-hui Chen, Chao-Bin Su"
Klaus Hüttmann
Luis Carvalho
"Se-deok Ham, Il-byeong Kwak"
"Matt Mitchell, Taliesyn Mitchell"
"Alex Holdridge, Linnea Saasen"
Damian Morter
"Ed Gaffney, Suzanne Brockmann"
Gabriel Mariño
"Shûichi Yoshida, Shirô Maeda"

Marie-Castille Mention-Schaar
"Daria Onyshchenko, Miroslav Mandic"
M. Sasikumar
Rodrigo Aragão
Steve Ravic
Frédéric Petitjean
"Miguel Gomes, Mariana Ricardo"
"Tim Staffel, Tim Staffel"
"Jeremy Teicher, Alexi Pappas"

"A.D. Calvo, Brett A. Calvo"
"João Maia, Karen Sztajnberg"
"Angelina Nikonova, Olga Dykhovichnaya"
"Marcelo Backes, Carlos Gerbase"
"Rajan Khosa, K.D. Satyam"
Ayman Bahgat Kamar
Yusup Razykov
"Jon Keeyes, Carl Kirshner"
Sethu
"Katharina Hagena, Rochus Hahn"
"Stuart Wahlin, Stuart Wahlin"
Natalya Nazarova
"Kongkiat Khomsiri, Chanin Panthong"
"Jusif Samed Ogly, Samed Vurgun"
Timothy Fielding
"Jason Fuchs, Daniel Waters"
Andrew Oudot
Joe Swanberg

"Rahman Seyfi Azad, Fereydoun Jeyrani"
Ali Mosaffa
"Ben Cannell, Martin Laurence"

Kun-jae Jang
"Raimund Huber, Johan Kirsten"
"Guy Meirson, Yariv Horowitz"
Meni Yaish
"Jean Cottin, Christophe Offenstein"
Bernie Felix Jr.
"Ka-Fai Wai, Nai-Hoi Yau"
"J. Bishop, Jokes Yanes"
"Aaron Drane, Robert Hall"
"Jeremy Lovering, Jon Croker"
Jakub Kroner
"Thomas Langmann, Karine Angeli"
"Kushal Ved Bakshi, Bunty Rathore"
Tom DeNucci
Quentin Dupieux
"Michael Glover, Michael Glover"
Thomas Verrette
Mike Young
"Sean Finegan, Gregg Maxwell Parker"
"Marion Nelson, Robyn Davidson"
"Gerbrand Bakker, Nanouk Leopold"
"Matti Ijäs, Auli Mantila"
"Chris Bouchard, Thorin Seex"
"Eduardo Nunes, Guilherme Sarmento"
"Sergey Kaluzhanov, Irina Pivovarova"
"Wen Jiang, Junli Guo"
Chi-Keung Fung
"Flávia Castro, Mauricio Lissovski"
Diemo Kemmesies
Larry Clark
"Imtiaz Ali, Sajid Ali"
Xiaolu Xue
"Éric Besnard, Nicolas Boukhrief"

Andrew Dodge
Brent Tarnol
"Nuans Celikezer, Rasit Çelikezer"
"Maclain Nelson, Stephen Shimek"
Chris McCoy
"Sean Anders, John Morris"
"Brian Brightly, Ryan Farhoudi"
Brittany Goodwin
Theodore Melfi
Niki Iliev
Donavon Warren
"Carlos Cuarón, Luis Usabiaga"
"Robert D. Hanna, Jeffrey Lee Hollis"
Vinay Sharma
"Chema Rodríguez, Pablo Burgués"
"Tommy Blaze, Sean Paul Murphy"
Volker Schlöndorff
"Ziad Semaan, Steven Sheil"
Adam Mazer
"Kim van Kooten, Paul Verhoeven"
"Dirk Ahner, Susanne Fröhlich"
"Roy Hin Yeung Chow, Chi-long To"
"Chris Lancey, Kraig Wenman"
"Ryan M. Andrews, Chris Cull"
"Teresa Fabik, Kajsa Ingemarsson"
"Renzil D'Silva, Niranjan Iyengar"
Sofia Norlin
"Johannes Anyuru, Lisa Aschan"
"Chris Bruno, Vohn Regensburger"
"Birgir Örn Steinarsson, Baldvin Zophoníasson"
Bruce Wagner
"Adi Hasak, Luc Besson"
"Nimród Antal, James Hetfield"
Jonathan Sobol
Tony Zavaleta
"Luis Javier Henaine, Alejandra Olvera Avila"
Francis dela Torre
"Pablo Solarz, Kyu-dong Min"
"Mehdi Karampour, Khosrow Naghibi"
Rachid Djaidani
Rusty Whitener
"Marco Alessi, Fabrizio Cestaro"
"Philippe Bernard, Philippe Bernard"
"Clayton Miller, Charlie Shahnaian"
"Wil Branca, Riz Story"
Emanuele De Santi
"Clémence de Biéville, Nathalie Lafaurie"
"T.J. Ramini, Walter Taylaur"
"Puja Bedi, Puja Bedi"
Renjith
"Siva Akula, Gunasekhar"
Hee-kon Park
David Gould
Youssef Maaty
"Ayan Pratap, Jim Suthers"
Sarah-Judith Mettke
"Aditya Chopra, Aditya Chopra"
Daryush Shokof
"Li Fang, Li Fang"
"Mathieu Landais, Larry Clark"
Tony Burgess
Diane Kurys
"Aaron K. Carter, Nicholas A. DeNicola"
Paco León
"William Shakespeare, Paolo Taviani"
"Jane Ainscough, Chris Silber"
"Joseph Bendy, Stanley J. Orzel"
"George Clooney, Grant Heslov"
Michel Hazanavicius
Kim Mordaunt
"Hussain Dalal, Ayan Mukherjee"
"Robin Bhatt, Shaheen Bhatt"
Tim C. Patterson
"Tony Trov, Johnny Zito"
"Alain Gomis, Djolof Mbengue"
"Christian Petzold, Harun Farocki"
"David Rountree, David Banks"
Matt Witten
Shannon Masters
Kim Fupz Aakeson
Mark Edwin Robinson
Chris Galletta
"Matthieu Delaporte, Alexandre de La Patellière"
"Nischal Basnet, Saugat Malla"
"Jason Hall, Chris Kyle"
"Pedro Varela, Tatiana Maciel"
"Daniel Bonjour, Ryan James Russell"
"Joseph Conrad, Peter Fudakowski"
"Jeffrey Schenck, Peter Sullivan"
Warren Dudley
"William L. Stewart, William L. Stewart"
Phil Hawkins
"Pedro Alvarado, Christopher Di Nunzio"
Jake Limbert
"Nick Cannon, Nile Evans"
Eva Sørhaug
Francesc Morales
Bryan Binder
John Sheppard
Benedek Fliegauf
"James Lapine, James Lapine"
Amit Gupta
"Keiichi Hara, Yoshito Usui"
"Keiichi Hara, Yoshito Usui"
"Marie Noëlle, Peter Sehr"
"Pierre Jolivet, Simon Michaël"
"Asimakis Alfa Pagidas, Spiros Stathoulopoulos"
"Rajkumar Hirani, Abhijat Joshi"

"Rebecca Blasband, Antonin Svoboda"
Steven L. Fawcette
Bernd Lange
Stephen King
"John Cairns, Michael McCartney"
"Amadeu Artasona, Jaime Sacristán"
Brian Avenet-Bradley
"Jimmy Scanlon, Jimmy Scanlon"
Tom Sommerlatte
"Hubert Aranha, Marcelo Madureira"
"Sameer Gautam Singh, Sameer Gautam Singh"
"José Eduardo Belmonte, Ronaldo D'Oxum"
"Balsa Labovic, Vasilije Nikitovic"
Lal
Roberto Proia
Seok-hoon Lee
"Ryan Copple, Peter Benson"
"Djordje Milosavljevic, Milica Piletic"
Gauri Shinde
"Henk Pretorius, Janine Eser"
Jón Atli Jónasson
"Yannis Smaragdis, Panagiotis Pashidis"
"Bastian Günther, Emily Lundin"
Mark O'Connor
"Nikolay Kulikov, Nikolay Lebedev"
Joko Anwar
Mauro Lima
"Jim Lee, Huh Young-Man"
Johan Lundh
Ermek Tursunov
Ricky Rijneke
"Thanos Kermitsis, Thanos Kermitsis"
Ektoras Lygizos
"Lya Guerra, Erik Richter Strand"
"Geir Meum Olsen, Gunnar Staalesen"
Christian Repici
"Dan Beers, Mathew Harawitz"
Kate Barker-Froyland
"Henry Gayden, Henry Gayden"

"Michael J. Nelson, Kevin Murphy"
"Mehmet Aktas, Hisham Zaman"
"Corbin Bernsen, Michael Winnick"
"Yash Keswani, Vinay"
Patrick Desmarattes
"Mikael Engström, Petra Revenue"
"Marco Bellocchio, Marco Bellocchio"
"Jeremy Jackson, Marc Novak"
Rupesh Paul
Jonathan Smith
Lucy Mulloy
Nick Moorcroft
James DeMonaco
"Chris Lowell, Mohit Narang"
Nuno Bernardo
"Sugako Hashida, Kota Yamada"
Manon Briand

Mike Möller
"Ursula Gruber, Franziska Gehm"
"Otfried Preußler, Martin Ritzenhoff"
"Jeffrey De Serrano, Joey Dedio"
"Vlad Trandafir, Paul Negoescu"
Zaza Rusadze
Chadd Harbold
"Lok Man Leung, Kim-Ching Luk"
Bijukumar Damodaran
Nilesh Girkar
"Enrique Chmelnik, Rafael Gaytán"
Paul Gerstenberger
Alan Brown
"Johan Earl, Denai Gracie"
"Amro Hamzawi, Amro Hamzawi"
"Ha Yoo, Asa Nonami"
"Levan Bakhia, Adrian Colussi"
Reis Çelik
Tin-Shing Yip
"Jazmín López, Guido Segal"
Peyman Abbasi
"Sumit Batheja, Sameer Sharma"
Enrique Rivero
"Pratim D. Gupta, Pratim D. Gupta"
"Katrin Bowen, Jillian Mannion"
"Michael Worth, Michael Worth"
Upendra
Thiru
"Razvan Radulescu, Cãlin Peter Netzer"
"Etienne Fourie, Etienne Fourie"
Victor Vu
"A.R. Murugadoss, A.R. Murugadoss"
"Je-Yeong Kim, Jae-Ik Lee"
Ram
"James Cullen Bressack, James Cullen Bressack"
Randy Moore
"Sanjay Leela Bhansali, Vibhu Puri"
Maria Speth
Tokuya Higashigawa
"Mick Øgendahl, Anders Thomas Jensen"
"John Doolan, Michael Laimo"
Sara Johnsen
Murali Gopy
Karin Arrhenius
"Rumi Jaffery, Mumukshu Mudgal"
"Christian Stavrakis, Mark Ricche"
"Maurizio Braucci, Pietro Marcello"
"Giulia Brazzale, Luca Immesi"
"Nico Sentner, Matthias Haag"
"Steve Larson, Richard Robertson"
Paul Finelli
"Leon van Nierop, Leon van Nierop"
"Daryush Shokof, Daryoush Zandi"
"Christopher Bond, Jessie Gabe"
David Schmoeller
"Thom Lu, Calvin Yao"

"Simon Chung, Yulai Lü"
Daryush Shokof
Ivan Ikic
"Salman Aristo, Ahmad Fuadi"
Kleber Mendonça Filho
"Sam Kihiu, Erkko Lyytinen"
"Chris Hill, Sam Michell"
Tony Aloupis
"Ryûnosuke Akutagawa, Shinobu Hashimoto"
Vasiliy Sigarev
Joseph B. Vasquez
"Miguel Ángel Blanca, Juan Cruz"
Paul Kennedy
"Amit Sial, Manish Srivastav"
"Jerome Sable, Jerome Sable"
"Patrice Leconte, Jérôme Tonnerre"
Pelin Esmer

William Vega
"Nishant Hada, Nishant Hada"
"Fred Wolf, Adam Sandler"
"Ashwini Chaudhary, Sanyuktha Chawla Shaikh"
"Claude Berri, Lisa Azuelos"
"Jon M. Chu, Hieu Ho"
Er Mu
Scott Cohen
"Kevin Donner, Zack Parker"
James Napier Robertson
Erkut Altindag
"Marius Ivaskevicius, Marius Ivaskevicius"
"Anatole France, Evgeniy Pashkevich"
Peter Franzén
Mikhail Segal
"Mats Arehn, Ulf Kvensler"
"Akke Eklund, Petri Hakkarainen"
"Hannes Holm, Anders Jacobsson"
Outi Keskevaari
Kwang-kyo Jin
Wahid Hamid

"Jace Anderson, Adam Gierasch"
Cormac McCarthy
Jeff Kauffmann
"Vasay Chaudhry, Vasay Chaudhry"
Matthew Read
Mary Jane Hansen
"Yvan Attal, Olivier Lécot"
"Hee Ann Ho, Jack Neo"
Frédéric Videau
Richard Curtis
Lav Diaz
"Béla Jarzyk, Til Schweiger"
"Guillaume Daporta, Estelle Larrivaz"
Adrian Lustig
Gen Urobuchi
Max Enscoe
Rafaël Ouellet
"Jimmy Karlsson, Roland Fauser"
"Pool Kang, Hwi Kim"
Martin Lund
"David Gordon Green, Hafsteinn Gunnar Sigurðsson"
"Mauro Graiani, Riccardo Irrera"
Lyubomir Levitskiy
Steve Kerr
"Jay Bell, Carlos Pedraza"
Jody Wheeler
"Bhaskar Sakthi, Suseenthiran"
Lucio A. Rojas
Dheeraj Rattan
"Jan-Willem van Ewijk, Abdelhadi Samih"
"Girish Kulkarni, Nikhil Mahajan"
"Stanislav Donchev, Vasko Mavrikov"
"Paul J. Lane, Paul J. Lane"
"Johan Bromander, Bonita Drake"
Jay Woelfel
"Mathieu Gompel, Vianney Lebasque"
"Johan Kaos, Mads Larsen"
"Robert Geisler, Benjamin Tucek"
Amir Manor
"Jonathon The Impaler Sharkey, Rakhil Dolgorukov Tepes Sharkey"
"Jean-Claude Van Rijckeghem, Pat van Beirs"
Christopher Forbes
"Shaun Paul Piccinino, Brian Suskind"
"Guillermo Amoedo, Nicolás López"
Johnno Zee
"Valentina Viso, Valentí Closas"
Mitzi Vanessa Arreola
"Valerio D'Annunzio, Barbara Nicolosi"
Kemi Adesoye
"Srikanth Addala, Srikanth Addala"
Amit Kumar
"Craig Fairbrass, Brian A. Miller"
"Ather Ali, Ian Bonner"

Yiu Fai Lo
"Vincent Grashaw, Mark Penney"
Matt Berman
Magizh Thirumeni
"Stephan Komandarev, Marin Damyanov"
"Claudia Pinto, Claudia Pinto"
"Irena Hejdová, Andrea Sedlácková"
"Felipe Bragança, Karim Aïnouz"
"Bruno Hájek, Jakub Felcman"
Brad Ingelsby
"Jamil Dehlavi, Francis King"
"H. Banerjee, Kamal Haasan"
"Josiane Balasko, Franck Lee Joseph"
Hilton Lacerda
"Axel Hellstenius, Lars Saabye Christensen"
Øystein Karlsen
Cameron Nugent
"Neil LaBute, Neil LaBute"
Brad Hennig
"Katherine Brooks, Donna Robinson"
Hannah Fidell

Will Prescott
Nilesh Girkar
Joseph A. Elmore Jr.
"Doze Niu, Li-ting Tseng"
Chris W. Freeman
"Radu Jude, Corina Sabau"
Tom Seidman
Shagufta Rafique
"Matthew Robbins, Sam Garbarski"
Melissa Stack
"Eduard Cortés, Pedro Costa"
Frank Hall Green
"Gopimohan, Kona Venkat"
"Jason Wan Lim, Jason Wan Lim"
"Gordon Chan, Frankie Tam"
"Gwendolyn Bellmann, Franziska Schlotterer"
Terrance Zdunich
Dervis Zaim
"Christina Welsh, Ernie Barbarash"
Sharon Bar-Ziv
Trevor Payer
Josh Boone
"Patrick Cunningham, William Day Frank"
Gen Urobuchi
"Frank Houtappels, Joan Nederlof"
Elred Kumar
"Charles S. Dutton, Barry Hankerson"
"Fabrice Luchini, Philippe Le Guay"
"Laurent Zeitoun, Yoann Gromb"
"Atmen Kelif, Laurent Abitbol"
"Rachid Bouchareb, Zoé Galeron"
Ismail Günes
Steve Wolsh
"Brian T. Jaynes, David Wilson"
"Urio Shudô, Katsuhiko Manabe"
"Dietrich Brüggemann, Anna Brüggemann"
"Kristina Buozyte, Bruno Samper"

"Peter Bebjak, Andrej Dubravsky"
"Jeremy Sheldon, Peter Lowe"
"Robert Budina, Robert Budina"
"Aleksandr Rodionov, Boris Khlebnikov"
Marcin Krzysztalowicz
Wladyslaw Pasikowski
Maciej Pisuk
"Marcelo Rubens Paiva, Marcelo Rubens Paiva"
Natalia Pryzowicz
"Richard Linklater, Julie Delpy"
"Wojciech Lepianka, Piotr Trzaskalski"
Tyler Perry
Marek Epstein
Jack Paglen
Sean Paul Murphy
Khaled Diab
Khaled Diab
"Todd Niemi, Francisco Orvañanos"
Christopher Hatton
"Kentaro Miura, Ichirô Ôkouchi"
Khaled Diab
Ulrike Grote
Mohammed Saad
"Abinash Bikram Shah, Deepak Rauniyar"
Roger Alexis
"Shôtarô Ishinomori, Shôji Yonemura"
"Bálint Hegedûs, Károly Ujj Mészáros"
Andrew Levitas
"Moritz Netenjakob, Roger Schmelzer"
"Igor Sosna, Dmitriy Zverkov"
"Jeanne Le Guillou, Gladys Marciano"
"Georges Devereux, Arnaud Desplechin"
"Yûichi Okano, Azuma Morisaki"
"Antoinette McCoy, Duane McCoy"
André Marouço
"Petr Kolecko, Jan Prusinovský"
"Andrew Jones, James Plumb"
"Mike O'Mahony, Erich Ficke"

"Thomas Bahmann, Ralf Hertwig"
"Ashwin, Hari"
"Juan Miguel Sevilla, Juan Miguel Sevilla"
"Andres Clariond, Marie N'Diaye"
Paulo Fontenelle
Mark Leake
"David Grovic, Paul Conway"
Adam Sigal
"Chetan Bhagat, Abhishek Kapoor"
"Wilbert Awdry, Britt Allcroft"

Klaus Lemke
"Régis Anders, Jean Falculète"
Drew Thomas
Tobias Tobbell
Chris Sun
Aron Lehmann
Dito Tsintsadze
"Sára Cserhalmi, Miklós Paizs"
Hari Sama
"Chimamanda Ngozi Adichie, Biyi Bandele"
"Pawan Sony, Padmaja Thakore"
"Amar Adatia, Christine Edwards"
"Petra Ladinigg, Umut Dag"
"Denis Diderot, Guillaume Nicloux"
Catrin Lüth
"Tyler Perry, Tyler Perry"
Pandiraj
"Anugrah Bohrey, Dheeraj Rattan"
David Doucette
"Laurie Aubanel, Jérôme Enrico"
"Diego Capusotto, Pedro Saborido"
"Simone Bartesaghi, Joseph Michael Lagana"
"Sanjay Leela Bhansali, William Shakespeare"
Belal Fadl

Pau Masó
"Steve Allrich, Anthony O'Brien"
Andrew Jones
Tobias Lindholm
"Bruno Mazzeo, Lusa Silvestre"
"Toor Mian, Adam Ford-Smith"

"Maria Karlsson, Camilla Läckberg"
"Matthew Chapman, Julie Sayres"
"Matt Bardin, Mo Ogrodnik"
T.J. Gnanavel
Christian Grillo
Oleg Sentsov
"Joachim Trier, Eskil Vogt"
"Jeff Van Wie, Josh Campbell"
Shaka King
Steven Knight

"Mohit Takalkar, Varun Narvekar"
Mickey Keating
"James Eaves, Pat Higgins"
Anjali Menon
"Norman Coester, Simon Hauschild"
Oklahoma Ward
Erik Peter Carlson
Faysal Soysal
Rama Burshtein
"Jeremy Valender, Marcus Werner Hed"
"Pia Cook, Todd Gordon"
"Rita Artmann, Joe Bauer"
"Maurício Farias, Alexandre Morcilo"
Narayana
Paul D. Hannah
Roberto Minervini
Todd Heller
Jay Border
"Wendy Orr, Cathy Randall"
"Philippe Falardeau, Joanna Smith Rakoff"
Debora Alessi
Eric Arthur Martinez
"Gary Alazraki, Adrian Zurita"
"Jakuchô Setouchi, Takashi Ujita"
"Vikram Bhatt, Sanjay Masoomm"
"Scott Rothman, Rajiv Joseph"
"Logan Miller, Noah Miller"
"Tom J. Astle, Matt Ember"
"Deva Katta, Deva Katta"
"Brea Grant, Vera Miao"
Maris Martinsons
Wael Abd-Allah
Tania Hermida
"Walker Haynes, Walker Haynes"
"Raghuvir Shekhawat, Ajai Sinha"
"Emmanuel Joly, Jean-Sébastien Poirier"
"Vikas Chandra, Avinash Kumar Singh"
"O. Henry, Bhavani Iyer"
"Mark Mendola, Michael Sciabarrasi"
Edward Pionke
Hun-Su Park
N. Shankar Dayal
"Ain Mäeots, Toomas Tilk"
"Aramantono, Garin Nugroho"
"Robert Vuijsje, Lodewijk Crijns"
Kim van Kooten
Barbara Bialowas
"Elias, Nick Basile"
Ahmed Abdallah
"Edoardo Gabbriellini, Pier Paolo Piciarelli"
"Leigh Whannell, James Wan"
"Arild Andresen, Lars Gudmestad"
"Royston Innes, Ric Maddox"
"Rogier de Blok, Iván López Núñez"
"Adam Mason, Simon Boyes"
"Catherine Hardwicke, Arty Nelson"
"Chris Weitz, J. Mills Goodloe"
"Juan Feldman, Joel Silverman"
"Mahesh Bhatt, Mahesh Bhatt"
Ravi C. Kumar
William Savage
Dustin Mills
Osman Khalid Butt
